Country,Total_Summer_Medals,Total_Winter_Medals,Total_Medals_Combined,Continent
Afghanistan,2,0,2,Asia
Albania,0,0,0,Europe
Algeria,17,0,17,Africa
Andorra,0,0,0,Europe
Angola,0,0,0,Africa
Antigua and Barbuda,0,0,0,North America
Argentina,77,0,77,South America
Armenia,18,0,18,Europe
Australia,547,19,566,Oceania
Austria,96,250,346,Europe
Azerbaijan,49,0,49,Europe
Bahamas,16,0,16,North America
Bahrain,4,0,4,Asia
Bangladesh,0,0,0,Asia
Barbados,1,0,1,North America
Belarus,85,20,105,Europe
Belgium,157,8,165,Europe
Belize,0,0,0,North America
Benin,0,0,0,Africa
Bhutan,0,0,0,Asia
Bolivia,0,0,0,South America
Bosnia and Herzegovina,0,0,0,Europe
Botswana,2,0,2,Africa
Brazil,150,0,150,South America
Brunei,0,0,0,Asia
Bulgaria,224,6,230,Europe
Burkina Faso,1,0,1,Africa
Burma,0,0,0,Asia
Burundi,2,0,2,Africa
Cabo Verde,0,0,0,Africa
Cambodia,0,0,0,Asia
Cameroon,6,0,6,Africa
Canada,326,225,551,North America
Central African Republic,0,0,0,Africa
Chad,0,0,0,Africa
Chile,13,0,13,South America
China,634,77,711,Asia
Colombia,34,0,34,South America
Comoros,0,0,0,Africa
Congo,0,0,0,Africa
Costa Rica,4,0,4,North America
Croatia,41,11,52,Europe
Cuba,235,0,235,North America
Cyprus,1,0,1,Europe
Czechia,71,34,105,Europe
Denmark,205,1,206,Europe
Djibouti,1,0,1,Africa
Dominica ,0,0,0,North America
Dominican Republic,12,0,12,North America
DR Congo,0,0,0,Africa
Ecuador,5,0,5,South America
Egypt,38,0,38,Africa
El Salvador,0,0,0,North America
Equatorial Guinea,0,0,0,Africa
Eritrea,1,0,1,Africa
Estonia,36,8,44,Europe
Eswatini,0,0,0,Africa
Ethiopia,58,0,58,Africa
Fiji,3,0,3,Oceania
Finland,305,175,480,Europe
France,751,138,889,Europe
Gabon,1,0,1,Africa
Gambia,0,0,0,Africa
Georgia,40,0,40,Europe
Germany,655,267,922,Europe
Ghana,5,0,5,Africa
Greece,121,0,121,Europe
Grenada,3,0,3,North America
Guatemala,1,0,1,North America
Guinea,0,0,0,Africa
Guinea-Bissau,0,0,0,Africa
Guyana,1,0,1,South America
Haiti,2,0,2,North America
Honduras,0,0,0,North America
Hungary,511,10,521,Europe
Iceland,4,0,4,Europe
India,35,0,35,Asia
Indonesia,37,0,37,Asia
Iran,76,0,76,Asia
Iraq,1,0,1,Asia
Ireland,35,0,35,Europe
Israel,13,0,13,Asia
Italy,618,141,759,Europe
Jamaica,87,0,87,North America
Japan,497,76,573,Asia
Jordan,3,0,3,Asia
Kazakhstan,71,8,79,Asia
Kenya,113,0,113,Africa
South Korea,287,79,366,Asia
North Korea,55,2,57,Asia
Kosovo,0,0,0,Europe
Kuwait,3,0,3,Asia
Kyrgyzstan,7,0,7,Asia
Laos,0,0,0,Asia
Latvia,21,10,31,Europe
Lebanon,4,0,4,Asia
Lesotho,0,0,0,Africa
Liberia,0,0,0,Africa
Libya,0,0,0,Africa
Liechtenstein,0,10,10,Europe
Lithuania,26,0,26,Europe
Luxembourg,3,2,5,Europe
Madagascar,0,0,0,Africa
Malawi,0,0,0,Africa
Malaysia,13,0,13,Asia
Maldives,0,0,0,Asia
Mali,0,0,0,Africa
Malta,0,0,0,Europe
Mauritania,0,0,0,Africa
Mauritius,1,0,1,Africa
Mexico,72,0,72,North America
Moldova,6,0,6,Europe
Monaco,0,0,0,Europe
Mongolia,30,0,30,Asia
Montenegro,1,0,1,Europe
Morocco,24,0,24,Africa
Mozambique,2,0,2,Africa
Myanmar,0,0,0,Asia
Namibia,5,0,5,Africa
Nepal,0,0,0,Asia
Netherlands,322,147,469,Europe
New Zealand,137,6,143,Oceania
Nicaragua,0,0,0,North America
Niger,2,0,2,Africa
Nigeria,27,0,27,Africa
North Macedonia,2,0,2,Europe
Norway,163,405,568,Europe
Oman,0,0,0,Asia
Pakistan,10,0,10,Asia
Panama,3,0,3,North America
Papua New Guinea,0,0,0,Oceania
Paraguay,1,0,1,South America
Peru,4,0,4,South America
Philippines,14,0,14,Asia
Poland,298,23,321,Europe
Portugal,28,0,28,Europe
Qatar,8,0,8,Asia
Romania,308,1,309,Europe
Russia,1514,364,1878,Europe
Rwanda,0,0,0,Africa
Saint Kitts and Nevis,0,0,0,North America
Saint Lucia,0,0,0,North America
Saint Vincent and the Grenadines,0,0,0,North America
San Marino,3,0,3,Europe
Sao Tome and Principe,0,0,0,Africa
Saudi Arabia,4,0,4,Asia
Senegal,1,0,1,Africa
Serbia,24,0,24,Europe
Seychelles,0,0,0,Africa
Sierra Leone,0,0,0,Africa
Singapore,5,0,5,Asia
Slovakia,32,10,42,Europe
Slovenia,28,24,52,Europe
Somalia,0,0,0,Africa
South Africa,89,0,89,Africa
South Sudan,0,0,0,Africa
Spain,169,5,174,Europe
Sri Lanka,2,0,2,Asia
Sudan,1,0,1,Africa
Suriname,2,0,2,South America
Sweden,503,176,679,Europe
Switzerland,206,168,374,Europe
Syria,4,0,4,Asia
Tajikistan,4,0,4,Asia
Tanzania,2,0,2,Africa
Thailand,35,0,35,Asia
Togo,1,0,1,Africa
Trinidad and Tobago,19,0,19,North America
Tunisia,15,0,15,Africa
Turkey,104,0,104,Asia
Uganda,11,0,11,Africa
Ukraine,139,9,148,Europe
United Arab Emirates,2,0,2,Asia
United Kingdom,916,34,950,Europe
United States of America,2629,330,2959,North America
Uruguay,10,0,10,South America
Uzbekistan,36,1,37,Asia
Venezuela,19,0,19,South America
Vietnam,5,0,5,Asia
Yemen,0,0,0,Asia
Zambia,2,0,2,Africa
Zimbabwe,8,0,8,Africa
